id,owner_id,name,email,country_code,phone,favourites,blocked,trashed,is_subscribed,deleted_at,created_at,updated_at
1,1,Mohammad Prince,ahmedtanbir442@gmail.com,880,1825731327,0,0,0,0,NULL,03-03-21 10:09,03-03-21 11:15
1,1,Mohammad Prince,pondit.tanbir@gmail.com,880,1825731327,0,0,0,0,NULL,03-04-21 10:09,03-04-21 11:15
1,1,Mohammad Prince,mojahid@imjol.com,880,1825731327,0,0,0,0,NULL,03-05-21 10:09,03-05-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-06-21 10:09,03-06-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-07-21 10:09,03-07-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-08-21 10:09,03-08-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-09-21 10:09,03-09-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-10-21 10:09,03-10-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-11-21 10:09,03-11-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-12-21 10:09,03-12-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-13-21 10:09,03-13-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-14-21 10:09,03-14-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-15-21 10:09,03-15-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-16-21 10:09,03-16-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-17-21 10:09,03-17-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-18-21 10:09,03-18-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-19-21 10:09,03-19-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-20-21 10:09,03-20-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-21-21 10:09,03-21-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-22-21 10:09,03-22-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-23-21 10:09,03-23-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-24-21 10:09,03-24-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-25-21 10:09,03-25-21 11:15
1,1,Mohammad Prince,test@gmail.com,880,1825731327,0,0,0,0,NULL,03-26-21 10:09,03-26-21 11:15
